pid,displayTitle,hasPart,dmDate,isMemberOfCollection,identifier,dpExtRef,restore_id,restore_md5,restore_filename,restore_filepath,restore_bytes,file_extension
umd:701441,"The Walder Trio, chamber recital, March 16, 1986",umd:701442,1986-03-16T05:00:00Z,umd:3392,scpa-031992-0001,http://streamer.lib.umd.edu/ssdcms/i.do?u=e218b71dc2b3457,8876952,0f066b1be0f84c3c74f83b63f1c9e601,scpa-031992-0001.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/12944/Preservation Master/scpa-031992-0001.wav,765517212,wav
umd:701441,"The Walder Trio, chamber recital, March 16, 1986",umd:701443,1986-03-16T05:00:00Z,umd:3392,scpa-031992-0002,http://streamer.lib.umd.edu/ssdcms/i.do?u=894d5714f4d945b,8876895,e223ea95caa44234feeeee36257bedcd,scpa-031992-0002.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/12944/Preservation Master/scpa-031992-0002.wav,745357212,wav
umd:702122,"Linda Mabbs, William Montgomery, and Stephen Swedish, chamber recital, January 27, 1980",umd:702123,1980-01-27T05:00:00Z,umd:3392,scpa-032280-0001,http://streamer.lib.umd.edu/ssdcms/i.do?u=683d624e5790459,8874024,f233ab6ef4bce34ec2baa30c7f328684,scpa-032280-0001.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/12947/Preservation Master/scpa-032280-0001.wav,1112779548,wav
umd:702124,"Linda Mabbs, William Montgomery, and Stephen Swedish, chamber recital, January 27, 1980",umd:702125,1980-01-27T05:00:00Z,umd:3392,scpa-032281-0001,http://streamer.lib.umd.edu/ssdcms/i.do?u=2055e55dacaa4d3,8873918,da5d4eb3a8af63bf7b815f5f07233e43,scpa-032281-0001.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/12947/Preservation Master/scpa-032281-0001.wav,1150219548,wav
umd:702116,"University of Maryland Chamber Ensemble, chamber recital, February 24, 1980",umd:702117,1980-02-24T05:00:00Z,umd:3392,scpa-032277-0001,http://streamer.lib.umd.edu/ssdcms/i.do?u=05421158901b481,8876985,e798cc484ce155805cea76f4036061e5,scpa-032277-0001.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/12944/Preservation Master/scpa-032277-0001.wav,1436546844,wav
umd:702142,"Electronic Music Plus Festival, chamber recital, November 3, 1979",umd:702143,1979-11-03T05:00:00Z,umd:3392,scpa-032290-0001,http://streamer.lib.umd.edu/ssdcms/i.do?u=27edc70cab2b4a8,8876807,1394c3ba452b0b792e7ff419d5517376,scpa-032290-0001.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/12944/Preservation Master/scpa-032290-0001.wav,1197127260,wav
umd:702120,"Twentieth Century Chamber Ensemble, chamber recital, March 4, 1980",umd:702121,1980-03-04T05:00:00Z,umd:3392,scpa-032279-0001,http://streamer.lib.umd.edu/ssdcms/i.do?u=43a123d3d4bc445,8873998,ecbb643462c817393b3cf36e2ee7da29,scpa-032279-0001.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/12947/Preservation Master/scpa-032279-0001.wav,1382347548,wav
umd:702114,"Lawrence Ink, Master of Music recital, flute, February 29, 1980",umd:702115,1980-02-29T05:00:00Z,umd:3392,scpa-032276-0001,http://streamer.lib.umd.edu/ssdcms/i.do?u=5f4d759b63a148e,8876964,c1829bee01ea21574f6023cf12caa663,scpa-032276-0001.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/12944/Preservation Master/scpa-032276-0001.wav,1051202844,wav
umd:702126,"Faculty Noon Recital, faculty recital, January 22, 1980",umd:702127,1980-01-22T05:00:00Z,umd:3392,scpa-032282-0001,http://streamer.lib.umd.edu/ssdcms/i.do?u=fa6c902a73bd48a,8876860,37f041793a26aa8b579bba1aa53b6604,scpa-032282-0001.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/12944/Preservation Master/scpa-032282-0001.wav,1409419548,wav
umd:702128,"Oliver Edel, visiting artist, cello, January 29, 1980",umd:702129,1980-01-29T05:00:00Z,umd:3392,scpa-032283-0001,http://streamer.lib.umd.edu/ssdcms/i.do?u=ee9bb43228e846d,8874267,593ce71947349ade16425405b4b486a6,scpa-032283-0001.wav,/libr/archives/projectsexport/DCR_Projects_Archive073 - Date 10252016/som/12947/Preservation Master/scpa-032283-0001.wav,1147466844,wav
