umdm,umam,type,base,ext,status,source
umd_675073,umd_675075,audio,scpa-024148-0002,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024148-0002.wav
umd_675076,umd_675077,audio,scpa-024149-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024149-0001.wav
umd_675078,umd_675080,audio,scpa-024150-0002,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024150-0002.wav
umd_675078,umd_675079,audio,scpa-024150-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024150-0001.wav
umd_675081,umd_675082,audio,scpa-024151-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024151-0001.wav
umd_675083,umd_675084,audio,scpa-024152-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024152-0001.wav
umd_675083,umd_675085,audio,scpa-024152-0002,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024152-0002.wav
umd_675086,umd_675087,audio,scpa-024153-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024153-0001.wav
umd_675088,umd_675090,audio,scpa-024154-0002,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024154-0002.wav
umd_675088,umd_675089,audio,scpa-024154-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024154-0001.wav
umd_675091,umd_675092,audio,scpa-024155-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024155-0001.wav
umd_675093,umd_675094,audio,scpa-024156-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024156-0001.wav
umd_675095,umd_675096,audio,scpa-024157-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024157-0001.wav
umd_675097,umd_675098,audio,scpa-024158-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024158-0001.wav
umd_675099,umd_675100,audio,scpa-024159-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024159-0001.wav
umd_675099,umd_675101,audio,scpa-024159-0002,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024159-0002.wav
umd_675102,umd_675103,audio,scpa-024161-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024161-0001.wav
umd_675104,umd_675106,audio,scpa-024162-0002,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024162-0002.wav
umd_675104,umd_675105,audio,scpa-024162-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024162-0001.wav
umd_675107,umd_675108,audio,scpa-024163-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024163-0001.wav
umd_675109,umd_675110,audio,scpa-024164-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024164-0001.wav
umd_675111,umd_675112,audio,scpa-024165-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024165-0001.wav
umd_675115,umd_675116,audio,scpa-024167-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024167-0001.wav
umd_675115,umd_675117,audio,scpa-024167-0002,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024167-0002.wav
umd_675118,umd_675119,audio,scpa-024168-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024168-0001.wav
umd_675120,umd_675121,audio,scpa-024169-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024169-0001.wav
umd_675122,umd_675123,audio,scpa-024170-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024170-0001.wav
umd_675124,umd_675125,audio,scpa-024171-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024171-0001.wav
umd_675126,umd_675127,audio,scpa-024172-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024172-0001.wav
umd_675128,umd_675129,audio,scpa-024173-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024173-0001.wav
umd_675130,umd_675131,audio,scpa-024174-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024174-0001.wav
umd_675132,umd_675133,audio,scpa-024175-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024175-0001.wav
umd_675134,umd_675135,audio,scpa-024176-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024176-0001.wav
umd_675136,umd_675137,audio,scpa-024177-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024177-0001.wav
umd_675138,umd_675139,audio,scpa-024178-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-024178-0001.wav
umd_678070,umd_678071,audio,scpa-023097-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023097-0001.wav
umd_678072,umd_678073,audio,scpa-023098-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023098-0001.wav
umd_678074,umd_678075,audio,scpa-023099-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023099-0001.wav
umd_678074,umd_678076,audio,scpa-023099-0002,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023099-0002.wav
umd_678077,umd_678078,audio,scpa-023100-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023100-0001.wav
umd_678079,umd_678080,audio,scpa-023101-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023101-0001.wav
umd_678081,umd_678082,audio,scpa-023102-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023102-0001.wav
umd_678083,umd_678084,audio,scpa-023103-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023103-0001.wav
umd_678085,umd_678086,audio,scpa-023104-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023104-0001.wav
umd_678087,umd_678088,audio,scpa-023105-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023105-0001.wav
umd_678089,umd_678090,audio,scpa-023106-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023106-0001.wav
umd_678091,umd_678092,audio,scpa-023107-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023107-0001.wav
umd_678093,umd_678094,audio,scpa-023108-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023108-0001.wav
umd_678095,umd_678096,audio,scpa-023109-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023109-0001.wav
umd_678097,umd_678099,audio,scpa-023110-0002,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023110-0002.wav
umd_678097,umd_678098,audio,scpa-023110-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023110-0001.wav
umd_678100,umd_678101,audio,scpa-023111-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023111-0001.wav
umd_678100,umd_678102,audio,scpa-023111-0002,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023111-0002.wav
umd_678103,umd_678104,audio,scpa-023112-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023112-0001.wav
umd_678105,umd_678106,audio,scpa-023113-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023113-0001.wav
umd_678107,umd_678108,audio,scpa-023114-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023114-0001.wav
umd_678109,umd_678110,audio,scpa-023115-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023115-0001.wav
umd_678111,umd_678112,audio,scpa-023116-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023116-0001.wav
umd_678113,umd_678114,audio,scpa-023117-0001,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023117-0001.wav
umd_678113,umd_678115,audio,scpa-023117-0002,.mp3,todo,DCR_Projects_Archive036 Date 07082014/DCR Projects/Archive/MARCH2014/scpa/scpa-023117-0002.wav
